class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.35574356133101087,0.3180829169113776,0.5005910755910755,0.3281439077796367,0.30465022566086397,0.4114215866875441,0.3174918312849348,0.2905309250136836,0.40057471264367817,0.37648122061315675,0.33951492951492945,0.4532478632478632,20,[[  0. 359. 228. 103. 182.]
 [ 75. 204.  22.   0.   0.]
 [137.  40. 128.  23.   0.]
 [ 34.   0.  40.  82.  18.]
 [ 92.   0.   0.  33. 173.]],0.3269817266451475,0.4766356432093039,1.0194838047027588,1.5671657605894975
0.3989145097742125,0.39648245618394873,0.4616565441192307,0.3043736746426375,0.2745016846579347,0.4481752044252045,0.29554485428271837,0.2686084142394822,0.41569579288025893,0.45028193877421113,0.3897026794754067,0.5621873496873496,21,[[  0. 206. 297. 213. 189.]
 [ 73. 171.  55.   2.   0.]
 [124.  15. 137.  52.   0.]
 [ 34.   0.  31.  91.  18.]
 [ 63.   0.   0.  34. 201.]],0.32309559653309655,0.4816505026884491,0.9974161814898252,1.6243868523410387
0.40848267557056844,0.4127889807712472,0.46428889737713275,0.3267036871421299,0.29265771681502023,0.47339729558830684,0.19326653371597194,0.18679329409666487,0.25112359550561797,0.4110328551280676,0.33358170252520103,0.5853670634920635,22,[[  0. 199. 260. 105. 308.]
 [ 81. 182.  38.   0.   0.]
 [133.  19. 146.  30.   0.]
 [ 31.   0.  43.  51.  49.]
 [ 71.   0.   0.  13. 214.]],0.2996320701173366,0.4697701397478183,0.984542366117239,1.5563156306743622
0.3743948292104023,0.3866753838045704,0.4294579999125454,0.29753800031757366,0.2915358451072737,0.4031936317650604,0.23138552805219476,0.24603174603174602,0.2835185185185185,0.43022801488886486,0.38838219860947126,0.5059283309283309,23,[[  0. 186. 202. 103. 160.]
 [ 91. 169.  41.   0.   0.]
 [152.  15. 119.  42.   0.]
 [ 53.   0.  34.  62.  25.]
 [ 96.   0.   0.  22. 180.]],0.33226240145001895,0.4297809622586408,0.9635091973468661,1.7289188812885965
