class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[[ 0.  0.  0.  0.  0.]
 [70.  5.  1.  0.  3.]
 [58.  3.  1.  1. 18.]
 [29.  0.  0.  0. 30.]],0.13416666666666668,0.1425,0.8502586976145253,0.907194291651249
0.21666666666666665,0.21166666666666664,0.23,0.03,0.03,0.03,0.01,0.01,0.01,0.3,0.3,0.3,8,[[ 0.  6.  1. 11.  0.]
 [32. 18.  1.  0.  0.]
 [68.  6.  1.  0.  4.]
 [68.  4.  1.  1.  7.]
 [32.  0.  0.  0. 27.]],0.13791666666666666,0.1425,0.8131323709632411,0.8542811205983162
0.24,0.225,0.27,0.08,0.08,0.08,0.12,0.12,0.12,0.27,0.27,0.27,9,[[ 0.  8.  1.  2.  0.]
 [27. 22.  2.  0.  0.]
 [70.  5.  3.  1.  0.]
 [59.  6.  4. 11.  1.]
 [33.  0.  0.  0. 26.]],0.17375,0.185,0.7757674217826188,0.886764543056488
0.23,0.22,0.25,0.05,0.05,0.05,0.08,0.08,0.08,0.30666666666666664,0.305,0.31,10,[[ 0. 10.  6.  1.  1.]
 [28. 22.  1.  0.  0.]
 [71.  3.  1.  0.  4.]
 [55.  4.  2.  8. 12.]
 [32.  0.  0.  0. 27.]],0.16375,0.1725,0.7394987630723703,0.8903353336453438
0.2783333333333334,0.2703333333333333,0.3,0.2733333333333334,0.27,0.28,0.10833333333333332,0.09833333333333333,0.13,0.29,0.29,0.29,11,[[ 0. 17.  7. 49.  3.]
 [23. 24.  4.  0.  0.]
 [58.  3. 15.  1.  2.]
 [48.  4. 14. 10.  5.]
 [30.  0.  1.  1. 27.]],0.23216666666666666,0.25,0.7218056318133769,0.8774314898252488
0.264,0.2595,0.28,0.16666666666666663,0.165,0.17,0.155,0.14833333333333332,0.17,0.32,0.31,0.34,12,[[ 0. 12.  6. 28.  6.]
 [26. 24.  1.  0.  0.]
 [63.  4.  7.  3.  2.]
 [48.  3. 13. 13.  4.]
 [27.  0.  0.  0. 32.]],0.22070833333333334,0.24,0.6824895951784018,0.8843868234753609
0.26,0.25,0.28,0.19333333333333333,0.185,0.21,0.23666666666666664,0.225,0.26,0.319,0.31083333333333335,0.34,13,[[ 0. 18. 12. 23. 16.]
 [22. 22.  6.  0.  1.]
 [58.  7.  5.  7.  2.]
 [40.  2. 12. 18.  9.]
 [23.  1.  0.  3. 32.]],0.24270833333333333,0.2725,0.6373328396467247,0.8809740945696831
0.21,0.2,0.23,0.28833333333333333,0.2833333333333333,0.3,0.3863333333333333,0.337,0.51,0.2856666666666666,0.25116666666666665,0.37,14,[[ 0. 18. 11. 69. 41.]
 [19. 18. 10.  4.  0.]
 [39.  2. 17. 18.  3.]
 [26.  3.  5. 36. 11.]
 [18.  0.  1.  4. 36.]],0.267875,0.3525,0.5999170311472632,0.8994295942783356
0.2956666666666667,0.2725,0.35,0.26666666666666666,0.25,0.3,0.23333333333333336,0.225,0.25,0.34,0.327,0.37,15,[[ 0. 32. 19. 43. 28.]
 [21. 28.  1.  1.  0.]
 [49.  7. 19.  3.  1.]
 [33.  7. 19. 15.  7.]
 [21.  0.  0.  5. 33.]],0.26862499999999995,0.3175,0.586486723537397,0.8595874813199044
0.29348484848484846,0.271,0.35,0.30833333333333335,0.295,0.34,0.29466666666666663,0.2733333333333333,0.35,0.32285714285714284,0.3133333333333333,0.35,16,[[ 0. 41. 24. 60. 19.]
 [17. 28.  5.  1.  0.]
 [43.  8. 14. 12.  2.]
 [29.  4. 26. 19.  3.]
 [20.  0.  1.  3. 35.]],0.2881666666666667,0.3475,0.5368344786793294,0.8814227148890496
0.25233333333333335,0.2358333333333333,0.29,0.33666666666666667,0.32166666666666666,0.37,0.373,0.33666666666666667,0.46,0.31285714285714283,0.3116666666666667,0.32,17,[[ 0. 28. 23. 45. 16.]
 [19. 24.  6.  2.  0.]
 [42.  6. 18. 13.  0.]
 [30.  2. 12. 36.  1.]
 [19.  0.  1.  9. 30.]],0.30145833333333333,0.36,0.5116325589743528,0.9014802318811417
0.26166666666666666,0.24,0.31,0.37566666666666665,0.3408333333333334,0.46,0.31285714285714283,0.26,0.44,0.34983333333333333,0.3339285714285714,0.39,18,[[ 0. 29. 39. 73. 21.]
 [15. 22. 13.  1.  0.]
 [31.  7. 25. 15.  1.]
 [25.  3. 20. 26.  7.]
 [16.  0.  3.  5. 35.]],0.2936904761904761,0.4,0.46110333502292633,0.8843315115571022
0.26466666666666666,0.242,0.32,0.3216666666666667,0.2833333333333333,0.41,0.2770238095238095,0.22692857142857142,0.43,0.34566666666666657,0.3175,0.41,19,[[  0.  50.  44. 112.  31.]
 [ 17.  25.   8.   1.   0.]
 [ 30.   6.  25.  13.   5.]
